tier,ranks,hand,score,notes
A,A 2 3 6 9,A♦ 2♠ 3♥ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♥ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♥ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♦ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♠ 3♣ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♠ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♠ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♥ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♥ 9♥,85,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♥ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♣ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♥ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♦ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♥ 3♣ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♠ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♥ 6♣ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♠ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♠ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♠ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♥ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♥ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♥ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♦ 9♠,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♦ 9♥,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♦ 9♣,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♣ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♣ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♣ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♦ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♦ 3♣ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♠ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♥ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♥ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♦ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♦ 9♦,85,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♦ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♠ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♥ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♣ 9♠,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♣ 9♥,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♦ 2♣ 3♣ 6♣ 9♣,85,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♠ 9♠,85,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♠ 9♥,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♠ 9♦,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♠ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♥ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♦ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♦ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♣ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♠ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♦ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♥ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♦ 9♦,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♦ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♠ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♥ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♥ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♦ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♦ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♣ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♣ 9♥,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♣ 9♦,82,A-including low draws
A,A 2 3 6 9,A♣ 2♠ 3♣ 6♣ 9♣,85,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♠ 9♠,82,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♠ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♠ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♠ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♥ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♥ 9♥,82,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♥ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♥ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♦ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♦ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♦ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♦ 9♣,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♣ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♣ 9♥,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♣ 9♦,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♠ 6♣ 9♣,82,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♥ 6♠ 9♠,80,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♥ 6♠ 9♥,82,A-including low draws
A,A 2 3 6 9,A♣ 2♥ 3♥ 6♠ 9♦,80,A-including low draws
